paper_id,title,authors,venue,year,url,abstract,filter_score,filter_relevant,filter_keywords,has_coding_task,extraction_confidence,extraction_reason,task_summary,participant_skill_level,programming_language,programming_domain,programming_sub_domain,task_type,code_size_scope,evaluation_metrics,tools_environment,research_focus,is_programming_related,is_ai_related,quality_confidence,quality_completeness,quality_consistency,quality_overall,processing_time,error_message
ZSBFLTA2,KnitDema: Robotic Textile as Personalized Edema Mobilization Device,"Kim, Jin Hee (Heather); Stilling, Joan; O'Dell, Michael; Kao, Cindy Hsin-Liu",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581343,"Hand edema, defined as swelling of the hands caused by excess fluid accumulation, is a pervasive condition affecting a person’s range of motion and functional ability. However, treatment strategies remain limited to time-consuming manual massage by trained therapists, deterring a widely accessible approach. We present KnitDema, a robotic textile device that allows sequential compression from distal to proximal finger phalanges for mobilizing edema. We machine-knit the device and integrate small-scale actuators to envelop granular body locations such as fingers, catering to the shape of the hand. In addition, the device affords customizable compression levels through the enclosed fiber-like actuators. We characterize compression parameters and simulate the shunting of edema through a mock fluid system. Finally, we conduct a case study to evaluate the feasibility of the device, in which five hand edema patients assess KnitDema. Our study provides insights into the opportunities for robotic textiles to support personalized rehabilitation.",0.3333333333333333,True,"system, approach",False,0.95,"The study focuses on evaluating a robotic textile device for edema treatment, with no coding or programming tasks performed by participants.",,,,,,,,,,,,,,,,,1.618891954421997,
B6LK58PA,ReadingQuizMaker: A Human-NLP Collaborative System that Supports Instructors to Design High-Quality Reading Quiz Questions,"Lu, Xinyi; Fan, Simin; Houghton, Jessica; Wang, Lu; Wang, Xu",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580957,"Despite that reading assignments are prevalent, methods to encourage students to actively read are limited. We propose a system ReadingQuizMaker that supports instructors to conveniently design high-quality questions to help students comprehend readings. ReadingQuizMaker adapts to instructors’ natural workflows of creating questions, while providing NLP-based process-oriented support. ReadingQuizMaker enables instructors to decide when and which NLP models to use, select the input to the models, and edit the outcomes. In an evaluation study, instructors found the resulting questions to be comparable to their previously designed quizzes. Instructors praised ReadingQuizMaker for its ease of use, and considered the NLP suggestions to be satisfying and helpful. We compared ReadingQuizMaker with a control condition where instructors were given automatically generated questions to edit. Instructors showed a strong preference for the human-AI teaming approach provided by ReadingQuizMaker. Our findings suggest the importance of giving users control and showing an immediate preview of AI outcomes when providing AI support.",0.06666666666666665,False,"review, design, user, system, model, method, approach, evaluation",,,,,,,,,,,,,,,,,,,,0.00012111663818359375,
XLWBJXMP,Exam Eustress: Designing Brief Online Interventions for Helping Students Identify Positive Aspects of Stress,"Reza, Mohi; Zavaleta Bernuy, Angela; Liu, Emmy; Li, Tong; Liang, Zhongyuan; Barber, Calista K; Williams, Joseph Jay",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581368,"Stress reappraisal interventions try to shift students’ negative perceptions towards eustress, stress that can be beneficial, and help them perform better. However, it is less clear how to present them to users as online interventions that are brief, voluntary, and scale well in real-world contexts. We explore the design of online exam eustress interventions by generating six design factors (D1-6) that reinforce a core reappraisal message (D0), and evaluate them through: (i) user interviews (N = 20) revealing six findings (F1-6) on the importance of elaboration, layout, modality, and source of intervention content; (ii) a field experiment (N = 1283) showing a significant positive effect on exam scores (p = 0.003). Subgroup analyses indicate a significant effect for first-year but not for upper-year students, and no detectable gender differences. Our work offers insight into how students interact with online mindset interventions and design considerations for incorporating them into large courses.",0.3333333333333333,True,"experiment, interview, design, user",False,0.95,The study focuses on online interventions for stress management and does not involve any coding or programming tasks performed by participants.,,,,,,,,,,,,,,,,,2.0812389850616455,
2N962XPF,Understanding Collaborative Practices and Tools of Professional UX Practitioners in Software Organizations,"Feng, K. J. Kevin; Li, Tony W; Zhang, Amy X.",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581273,"User experience (UX) has undergone a revolution in collaborative practices, due to tools that enable quick feedback and continuous collaboration with a varied team across a design’s lifecycle. However, it is unclear how this shift in collaboration has been received in professional UX practice, and whether new pain points have arisen. To this end, we conducted a survey (N = 114) with UX practitioners at software organizations based in the U.S. to better understand their collaborative practices and tools used throughout the design process. We found that while an increase in collaborative activity enhanced many aspects of UX work, some long-standing challenges—such as handing off designs to developers—still persist. Moreover, we observed new challenges emerging from activities enabled by collaborative tools such as design system management. Based on our findings, we discuss how UX practices can improve collaboration moving forward and provide concrete design implications for collaborative UX tools.",0.1333333333333333,False,"software, survey, design, user, tool, system",,,,,,,,,,,,,,,,,,,,0.00017380714416503906,
2LH7SR8G,MyCareBudget: Co-creating a Healthcare Digital Commons with and for Disabled Citizens and their Unpaid Carers,"Glick, Peter; Crivellaro, Clara",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580934,"Supporting disabled populations and their unpaid carers through designing sustainable healthcare interventions and infrastructures, is an important, yet challenging, area in HCI research. We report on a collaboration with 23 disabled citizens, unpaid carers, and a care organisation, wishing to co-develop digital responses to challenges they face in the management of self-directed care budgets. We describe how leveraging participatory methods, including asynchronous and remote engagements, enabled the co-creation of a sustainable digital common-pool resource, used by over 5,000 people worldwide. This study contributes novel configurations of methods and tools for co-design with ‘seldom heard’ populations. Demonstrating how these enabled the collective articulation of what constitutes trust, governance, and responsibility, in the design of a digital commons, “MyCareBudget”, offering peer-produced care documents for use by disabled citizens and their unpaid carers. We discuss implications for HCI interested in co-designing sustainable socio-technical interventions with underserved and marginalised populations, in healthcare settings.",0.26666666666666666,False,"healthcare, design, tool, method",,,,,,,,,,,,,,,,,,,,0.0001678466796875,
XAGJXD93,#A11yDev: Understanding Contemporary Software Accessibility Practices from Twitter Conversations,"Huq, Syed Fatiul; Alshayban, Abdulaziz; He, Ziyao; Malek, Sam",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581455,"It is crucial to make software, with its ever-growing influence on everyday lives, accessible to all, including people with disabilities. Despite promoting software accessibility through government regulations, development guidelines, tools and frameworks, investigations reveal a marketplace of inaccessible web and mobile applications. To better understand the limitations of contemporary software industry in adopting accessibility practices, it is necessary to construct a holistic view that combines the perspectives of software practitioners, stakeholders and end users. In this paper, we collect 637 conversations from Twitter to synthesize and qualitatively analyze discussions posted about software accessibility. Our findings observe an active community that provides feedback on inaccessible software, shares personal accounts of development practices and advocates for inclusivity. By perceiving software accessibility from process, profession and people viewpoints, we present current conventions, challenges and possible resolutions with four emergent themes: cost and incentives, awareness and advocacy, technology and resources, and integration and inclusion.",0.3333333333333333,True,"framework, application, software, qualitative, accessibility, user, tool",False,0.95,The study analyzes Twitter conversations about software accessibility without involving participants in hands-on coding or programming tasks.,,,,,,,,,,,,,,,,,1.4910531044006348,
HAK2G5ME,Causalvis: Visualizations for Causal Inference,"Guo, Grace; Karavani, Ehud; Endert, Alex; Kwon, Bum Chul",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581236,"Causal inference is a statistical paradigm for quantifying causal effects using observational data. It is a complex process, requiring multiple steps, iterations, and collaborations with domain experts. Analysts often rely on visualizations to evaluate the accuracy of each step. However, existing visualization toolkits are not designed to support the entire causal inference process within computational environments familiar to analysts. In this paper, we address this gap with Causalvis, a Python visualization package for causal inference. Working closely with causal inference experts, we adopted an iterative design process to develop four interactive visualization modules to support causal inference analysis tasks. The modules are then presented back to the experts for feedback and evaluation. We found that Causalvis effectively supported the iterative causal inference process. We discuss the implications of our findings for designing visualizations for causal inference, particularly for tasks of communication and collaboration.",0.3333333333333333,True,"design, tool, evaluation",False,0.85,The paper discusses a visualization tool for causal inference but does not involve participants performing coding or programming tasks.,,,,,,,,,,,,,,,,,1.5448358058929443,
DE9DAZJJ,Corsetto,"Kilic Afsar, Ozgun; Luft, Yoav; Cotton, Kelsey; Stepanova, Ekaterina R.; Núñez-Pacheco, Claudia; Kleinberger, Rebecca; Ben Abdesslem, Fehmi; Ishii, Hiroshi; Höök, Kristina",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581294,"We present a novel intercorporeal experience – an intersubjective haptic voice. Through an autobiographical design inquiry, based on singing techniques from the classical opera tradition, we created Corsetto, a kinesthetic garment for transferring somatic reminiscents of vocal experience from an expert singer to a listener. We then composed haptic gestures enacted in the Corsetto, emulating upper-body movements of the live singer performing a piece by Morton Feldman named Three Voices. The gestures in the Corsetto added a haptics-based ‘fourth voice’ to the immersive opera performance. Finally, we invited audiences who were asked to wear Corsetto during live performances. Afterwards they engaged in micro-phenomenological interviews. The analysis revealed how the Corsetto managed to bridge inner and outer bodily sensations, creating a feeling of a shared intercorporeal experience, dissolving boundaries between listener, singer and performance. We propose that ‘intersubjective haptics’ can be a generative medium not only for singing performances, but other possible intersubjective experiences.",0.06666666666666665,False,"interview, haptic, gesture, design, technique",,,,,,,,,,,,,,,,,,,,0.00014400482177734375,
4ZQAN9IY,"Doufu, Rice Wine, and??: Supporting the Connections between Precision and Cultural Knowledge in Cooking","Luo, Danli; Rosner, Daniela; Peek, Nadya",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580697,"The digital codification and measurement of food preparation has made strong contributions to HCI food research, whether through ingredient manipulation, workflow management, or recipe interaction. But prior work has shown that technical developments that emphasize precise gourmet practices tend to overlook the importance of cultural knowledge. Drawing on an integrative autobiographical design approach, we describe an open-source hardware toolkit that we developed to examine the process of integrating precision techniques with ritual cooking practices across three recipes: flour skin, rice wine, and doufu. Our work points to the importance of understanding precision as a cultural process with roots in personal and familial experience. We end with a reflection on the particular knowledge-forms that come from cultivating cultural relationships to fabrication processes and their implications for reading digital fabrication processes as meaningfully relational.",0.3333333333333333,True,"design, tool, approach, interaction, technique",False,0.85,"The paper discusses an open-source hardware toolkit for cooking practices, but does not involve participants performing coding or programming tasks.",,,,,,,,,,,,,,,,,1.931614875793457,
S4MKFG2P,Who Do We Mean When We Talk About Visualization Novices?,"Burns, Alyxander; Lee, Christiana; Chawla, Ria; Peck, Evan; Mahyar, Narges",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581524,"As more people rely on visualization to inform their personal and collective decisions, researchers have focused on a broader range of audiences, including “novices.” But successfully applying, interrogating, or advancing visualization research for novices demands a clear understanding of what “novice” means in theory and practice. Misinterpreting who a “novice” is could lead to misapplying guidelines and overgeneralizing results. In this paper, we investigated how visualization researchers define novices and how they evaluate visualizations intended for novices. We analyzed 79 visualization papers that used “novice,” “non-expert,” “laypeople,” or “general public” in their titles or abstracts. We found ambiguity within papers and disagreement between papers regarding what defines a novice. Furthermore, we found a mismatch between the broad language describing novices and the narrow population representing them in evaluations (i.e., young people, students, and US residents). We suggest directions for inclusively supporting novices in both theory and practice.",0.3333333333333333,True,evaluation,False,0.95,The paper analyzes definitions and evaluations of novices in visualization research without involving any programming or coding tasks.,,,,,,,,,,,,,,,,,2.0776402950286865,
V8XKGRPT,Designing Responsible AI: Adaptations of UX Practice to Meet Responsible AI Challenges,"Wang, Qiaosi; Madaio, Michael; Kane, Shaun; Kapania, Shivani; Terry, Michael; Wilcox, Lauren",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581278,"Technology companies continue to invest in efforts to incorporate responsibility in their Artificial Intelligence (AI) advancements, while efforts to audit and regulate AI systems expand. This shift towards Responsible AI (RAI) in the tech industry necessitates new practices and adaptations to roles—undertaken by a variety of practitioners in more or less formal positions, many of whom focus on the user-centered aspects of AI. To better understand practices at the intersection of user experience (UX) and RAI, we conducted an interview study with industrial UX practitioners and RAI subject matter experts, both of whom are actively involved in addressing RAI concerns throughout the early design and development of new AI-based prototypes, demos, and products, at a large technology company. Many of the specific practices and their associated challenges have yet to be surfaced in the literature, and distilling them offers a critical view into how practitioners’ roles are adapting to meet present-day RAI challenges. We present and discuss three emerging practices in which RAI is being enacted and reified in UX practitioners’ everyday work. We conclude by arguing that the emerging practices, goals, and types of expertise that surfaced in our study point to an evolution in praxis, with associated challenges that suggest important areas for further research in HCI.",0.0,False,"literature, interview, design, user, system",,,,,,,,,,,,,,,,,,,,0.00029587745666503906,
NQVJWJES,DataParticles: Block-based and Language-oriented Authoring of Animated Unit Visualizations,"Cao, Yining; E, Jane L; Zhu-Tian, Chen; Xia, Haijun",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581472,"Unit visualizations have been widely used in data storytelling within interactive articles and videos. However, authoring data stories that contain animated unit visualizations is challenging due to the tedious, time-consuming process of switching back and forth between writing a narrative and configuring the accompanying visualizations and animations. To streamline this process, we present DataParticles, a block-based story editor that leverages the latent connections between text, data, and visualizations to help creators flexibly prototype, explore, and iterate on a story narrative and its corresponding visualizations. To inform the design of DataParticles, we interviewed 6 domain experts and studied a dataset of 44 existing animated unit visualizations to identify the narrative patterns and congruence principles they employed. A user study with 9 experts showed that DataParticles can significantly simplify the process of authoring data stories with animated unit visualizations by encouraging exploration and supporting fast prototyping.",0.3333333333333333,True,"user study, interview, design, user",False,0.85,The study focuses on authoring visualizations and narratives without involving participants in coding or programming tasks.,,,,,,,,,,,,,,,,,3.0832180976867676,
B3PCQ2TY,It?s About Time: Attending to Temporality in Misinformation Interventions,"Wilner, Tamar; Mimizuka, Kayo; Bhimdiwala, Ayesha; Young, Jason C; Arif, Ahmer",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581068,"Recent studies in HCI have explored how we might reduce the spread of online misinformation by helping people learn how to evaluate information in more skillful ways. Unfortunately, it isn’t clear that such interventions have been meaningfully integrated into communities. To better understand why this is the case, this paper engages over thirty information professionals (educators, librarians, and journalists) who promote digital literacy in BIPOC and rural communities. Our participants describe a temporal mismatch, whereby digital literacy requires time-consuming processes that cannot be accelerated, but institutional and societal pressures demand speed. We also describe strategies that participants envisaged to cope with this mismatch. This leads us to discuss how the HCI community can better engage with the temporal aspects of digital literacy work, with a view toward expanding the range of solutions we can design to address the misinformation crisis.",0.3333333333333333,True,design,False,0.95,"The study focuses on digital literacy and misinformation interventions, with no mention of coding or programming tasks performed by participants.",,,,,,,,,,,,,,,,,1.5536580085754395,
A4J3DTVC,Contextualizing User Perceptions about Biases for Human-Centered Explainable Artificial Intelligence,"Yuan, Chien Wen (Tina); Bi, Nanyi; Lin, Ya-Fang; Tseng, Yuen-Hsien",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580945,"Biases in Artificial Intelligence (AI) systems or their results are one important issue that demands AI explainability. Despite the prevalence of AI applications, the general public are not necessarily equipped with the ability to understand how the black-box algorithms work and how to deal with biases. To inform designs for explainable AI (XAI), we conducted in-depth interviews with major stakeholders, both end-users (n = 24) and engineers (n = 15), to investigate how they made sense of AI applications and the associated biases according to situations of high and low stakes. We discussed users’ perceptions and attributions about AI biases and their desired levels and types of explainability. We found that personal relevance and boundaries as well as the level of stake are two major dimensions for developing user trust especially during biased situations and informing XAI designs.",0.4000000000000001,True,"algorithm, application, interview, design, user, system",False,0.95,"The study focuses on user perceptions and interviews regarding AI biases, with no hands-on programming or coding tasks involved.",,,,,,,,,,,,,,,,,1.6104590892791748,
2T3CALFF,Governor: Turning Open Government Data Portals into Interactive Databases,"Liu, Chang; Usta, Arif; Zhao, Jian; Salihoglu, Semih",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580868,"The launch of open governmental data portals (OGDPs) has popularized the open data movement of last decade. Although the amount of data in OGDPs is increasing, their functionalities are limited to finding datasets with titles/descriptions and downloading the actual files. This hinders the end users, especially those without technical skills, to find the open data tables and make use of them. We present Governor, an open-sourced[17] web application developed to make OGDPs more accessible to end users by facilitating searching actual records in the tables, previewing them directly without downloading, and suggesting joinable and unionable tables to users based on their latest working tables. Governor also manages the provenance of integrated tables allowing users and their collaborators to easily trace back to the original tables in OGDP. We evaluate Governor with a two-part user study and the results demonstrate its value and effectiveness in finding and integrating tables in OGDP.",0.26666666666666666,False,"user study, application, review, user",,,,,,,,,,,,,,,,,,,,0.0002510547637939453,
KY4C5INE,Simphony: Enhancing Accessible Pattern Design Practices among Blind Weavers,"Das, Maitraye; Gergle, Darren; Piper, Anne Marie",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581047,"The maker movement has garnered significant attention as democratizing design; yet, recent work has called attention to the challenges disabled people encounter in making. Although researchers have built systems to improve accessibility of maker technologies, limited studies have centered disabled people’s engagement in traditional forms of making like fiber arts. We examine the practice of fabric pattern design among a community of blind weavers who create hand-woven products with sighted instructors. Grounded in seventeen interviews with blind weavers and sighted instructors, we built Simphony, an audio-tactile system that aims to support blind weavers in creating and perceiving patterns. Findings from eight design exploration sessions at the community studio reveal how blind weavers used Simphony to learn the process of pattern design and generate patterns with sighted instructors. We reflect on collaborative understanding of pattern design among blind and sighted individuals and discuss opportunities for integrating technological augmentations into traditional craftwork.",0.1333333333333333,False,"interview, accessibility, design, system",,,,,,,,,,,,,,,,,,,,0.0002148151397705078,
IMCPKLJR,Social Dynamics of AI Support in Creative Writing,"Gero, Katy Ilonka; Long, Tao; Chilton, Lydia B",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580782,"Recently, large language models have made huge advances in generating coherent, creative text. While much research focuses on how users can interact with language models, less work considers the social-technical gap that this technology poses. What are the social nuances that underlie receiving support from a generative AI? In this work we ask when and why a creative writer might turn to a computer versus a peer or mentor for support. We interview 20 creative writers about their writing practice and their attitudes towards both human and computer support. We discover three elements that govern a writer’s interaction with support actors: 1) what writers desire help with, 2) how writers perceive potential support actors, and 3) the values writers hold. We align our results with existing frameworks of writing cognition and creativity support, uncovering the social dynamics which modulate user responses to generative technologies.",0.3333333333333333,True,"framework, interview, user, model, interaction",False,0.95,"The study focuses on creative writing and the interaction with generative AI, with no programming or coding tasks involved.",,,,,,,,,,,,,,,,,1.6504712104797363,
TR9M2LEJ,Climate Coach: A Dashboard for Open-Source Maintainers to Overview Community Dynamics,"Qiu, Huilian Sophie; Lieb, Anna; Chou, Jennifer; Carneal, Megan; Mok, Jasmine; Amspoker, Emily; Vasilescu, Bogdan; Dabbish, Laura",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581317,"Open-source software projects have become an integral part of our daily life, supporting virtually every software we use today. Since open-source software forms the digital infrastructure, maintaining them is of utmost importance. We present Climate Coach, a dashboard that helps open-source project maintainers monitor the health of their community in terms of team climate and inclusion. Through a literature review and an exploratory survey (N=18), we identified important signals that can reflect a project’s health, and display them on a dashboard. We evaluated and refined our dashboard through two rounds of think-aloud studies (N=19). We then conducted a two-week longitudinal diary study (N=10) to test the usefulness of our dashboard. We found that displaying signals that are related to a project’s inclusion help improve maintainers’ management strategies.",0.0,False,"software, review, survey, literature",,,,,,,,,,,,,,,,,,,,0.00021314620971679688,
7KUPXA8A,A novel interaction for competence assessment using micro-behaviors:,"Colarusso, Fiorenzo; Cheng, Peter C-H.; Garcia Garcia, Grecia; Stockdill, Aaron; Raggi, Daniel; Jamnik, Mateja",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581519,"Competence Assessment by Chunk Hierarchy Evaluation with Transcription-tasks (CACHET) was proposed by Cheng [14]. It analyses micro-behaviors captured during cycles of stimulus viewing and copying in order to probe chunk structures in memory. This study extends CACHET by applying it to the domain of graphs and charts. Since drawing strategies are diverse, a new interactive stimulus presentation method is introduced: Transcription with Incremental Presentation of the Stimulus (TIPS). TIPS aims to reduce strategy variations that mask the chunking signal by giving users manual element-by-element control over the display of the stimulus. The potential of TIPS, is shown by the analysis of six participants transcriptions of stimuli of different levels of familiarity and complexity that reveal clear signals of chunking. To understand how the chunk size and individual differences drive TIPS measurements, a CPM-GOMS model was constructed to formalize the cognitive process involved in stimulus comprehension and chunk creation.",0.06666666666666665,False,"analysis of, user, model, method, interaction, evaluation",,,,,,,,,,,,,,,,,,,,0.00016880035400390625,
YAWQFFJ9,3D Printable Play-Dough: New Biodegradable Materials and Creative Possibilities for Digital Fabrication,"Buechley, Leah; Ta, Ruby",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580813,"Play-dough is a brightly-colored, easy-to-make, and familiar material. We have developed and tested custom play-dough materials that can be employed in 3D printers designed for clay. This paper introduces a set of recipes for 3D printable play-dough along with an exploration of these materials’ print characteristics. We explore the design potential of play-dough as a sustainable fabrication material, highlighting its recyclability, compostability, and repairability. We demonstrate how custom-color prints can be designed and constructed and describe how play-dough can be used as a support material for clay 3D prints. We also present a set of example artifacts made from play-dough and discuss opportunities for future research.",0.3333333333333333,True,design,False,0.9,"The paper discusses materials for 3D printing and their characteristics, but does not involve participants performing coding or programming tasks.",,,,,,,,,,,,,,,,,1.7022590637207031,
V9CM6855,Aspirations and Practice of ML Model Documentation: Moving the Needle with Nudging and Traceability,"Bhat, Avinash; Coursey, Austin; Hu, Grace; Li, Sixian; Nahar, Nadia; Zhou, Shurui; Kästner, Christian; Guo, Jin L.C.",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581518,"The documentation practice for machine-learned (ML) models often falls short of established practices for traditional software, which impedes model accountability and inadvertently abets inappropriate or misuse of models. Recently, model cards, a proposal for model documentation, have attracted notable attention, but their impact on the actual practice is unclear. In this work, we systematically study the model documentation in the field and investigate how to encourage more responsible and accountable documentation practice. Our analysis of publicly available model cards reveals a substantial gap between the proposal and the practice. We then design a tool named DocML aiming to (1) nudge the data scientists to comply with the model cards proposal during the model development, especially the sections related to ethics, and (2) assess and manage the documentation quality. A lab study reveals the benefit of our tool towards long-term documentation quality and accountability.",0.1333333333333333,False,"software, analysis of, design, tool, system, model",,,,,,,,,,,,,,,,,,,,0.00015401840209960938,
CZ5CJ77I,What is Human-Centered about Human-Centered AI? A Map of the Research Landscape,"Capel, Tara; Brereton, Margot",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580959,"The application of Artificial Intelligence (AI) across a wide range of domains comes with both high expectations of its benefits and dire predictions of misuse. While AI systems have largely been driven by a technology-centered design approach, the potential societal consequences of AI have mobilized both HCI and AI researchers towards researching human-centered artificial intelligence (HCAI). However, there remains considerable ambiguity about what it means to frame, design and evaluate HCAI. This paper presents a critical review of the large corpus of peer-reviewed literature emerging on HCAI in order to characterize what the community is defining as HCAI. Our review contributes an overview and map of HCAI research based on work that explicitly mentions the terms ‘human-centered artificial intelligence’ or ‘human-centered machine learning’ or their variations, and suggests future challenges and research directions. The map reveals the breadth of research happening in HCAI, established clusters and the emerging areas of Interaction with AI and Ethical AI. The paper contributes a new definition of HCAI, and calls for greater collaboration between AI and HCI research, and new HCAI constructs.",0.0,False,"application, review, literature, design, system, approach, interaction, learning",,,,,,,,,,,,,,,,,,,,0.0002071857452392578,
2MQMZX3Q,Older Adults Using Technology for Meaningful Activities During COVID-19: An Analysis Through the Lens of Self-Determination Theory,"Zhao, Wei; Kelly, Ryan M.; Rogerson, Melissa J.; Waycott, Jenny",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580839,"Restrictions during the COVID-19 pandemic significantly affected people's opportunities to engage in activities that are meaningful to their lives. In response to these constraints, many people, including older adults, turned to digital technologies as alternative ways to pursue meaningful activities. These technology-mediated activities, however, presented new challenges for older adults’ everyday use of technology. In this paper, we investigate how older adults used digital technologies for meaningful activities during COVID-19 restrictions. We conducted in-depth interviews with 40 older adults and analyzed the interview data through the lens of self-determination theory (SDT). Our analysis shows that using digital technologies for meaningful activities can both support and undermine older people's three basic psychological needs for autonomy, competence, and relatedness. We argue that future technologies should be designed to empower older adults’ content creation, engagement in personal interests, exploration of technology, effortful communication, and participation in beneficent activities.",0.19999999999999998,False,"interview, design",,,,,,,,,,,,,,,,,,,,0.00017905235290527344,
IPA9VD5F,VisLab: Enabling Visualization Designers to Gather Empirically Informed Design Feedback,"Choi, Jinhan; Oh, Changhoon; Kim, Yea-Seul; Kim, Nam Wook",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581132,"When creating a visualization, designers face various conflicting design choices. They typically rely on their hunches to deal with intricate trade-offs or resort to feedback from their colleagues. On the other hand, researchers have long used empirical methods to derive useful quantitative insights into visualization designs. Taking inspiration from this research tradition, we developed VisLab, an open-source online system to complement the existing qualitative feedback practice and help visualization practitioners run experiments to gather empirically informed design feedback. We surveyed practitioners’ perceptions of quantitative feedback and analyzed the research literature to inform VisLab’s motivation and design. VisLab operationalizes the experiment process using templates and dashboards to make empirical methods amenable for practitioners while supporting sharing and remixing experiments to aid knowledge exchange and validation. We demonstrated the validity of experiments in VisLab and evaluated the usability and potential usefulness of VisLab in visualization design practice.",0.0,False,"experiment, survey, literature, qualitative, design, system, method",,,,,,,,,,,,,,,,,,,,0.00014734268188476562,
MM9BA6HZ,RoutineAid: Externalizing Key Design Elements to Support Daily Routines of Individuals with Autism,"Kim, Bogoan; Kim, Sung-In; Park, Sangwon; Yoo, Hee Jeong; Hong, Hwajung; Han, Kyungsik",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581048,"Implementing structure into our daily lives is critical for maintaining health, productivity, and social and emotional well-being. New norms for routine management have emerged during the current pandemic, and in particular, individuals with autism find it difficult to adapt to those norms. While much research has focused on the use of computer technology to support individuals with autism, little is known about ways of helping them establish and maintain “self-directed” routine structures. In this paper, we identify design requirements for an app that support four key routine components (i.e., physical activity, diet, mindfulness, and sleep) through a formative study and develop RoutineAid, a gamified smartphone app that reflects the design requirements. The results of a two-month field study on design feasibility highlight two affordances of RoutineAid—the establishment of daily routines by facilitating micro-planning and the maintenance of daily routines through celebratory interactions. We discuss salient design considerations for the future development of daily routine management tools for individuals with autism.",0.3333333333333333,True,"design, tool, interaction",False,0.9,"The paper focuses on design requirements and user studies related to a routine management app, with no mention of coding or programming tasks performed by participants.",,,,,,,,,,,,,,,,,1.6122219562530518,
